ENGLISH,county,C19_P14_T
RATOATH LEA-7,MEATH,96
ROSCREA-TEMPLEMORE LEA-4,TIPPERARY,43
TULLAMORE LEA-7,OFFALY,154
TUAM LEA-7,GALWAY,209
BORRIS-IN-OSSORY -MOUNTMELLICK LEA-6,LAOIS,66
KINNEGAD LEA-5,WESTMEATH,64
DONAGHMEDE ,DUBLIN,207
MILFORD LEA-3,DONEGAL,72
GALWAY CITY EAST LEA-6,GALWAY,158
BALLYBAY-CLONES LEA-5,MONAGHAN,158
CLANE LEA-5,KILDARE,70
CAVAN - BELTURBET LEA-6,CAVAN,93
TALLAGHT CENTRAL ,DUBLIN,192
MOATE LEA-4,WESTMEATH,34
NENAGH LEA-5,TIPPERARY,125
DUNDALK-CARLINGFORD LEA-6,LOUTH,192
BALLYFERMOT-DRIMNAGH ,DUBLIN,354
DUNDRUM ,DUBLIN,118
HOWTH-MALAHIDE ,DUBLIN,202
PALMERSTOWN-FONTHILL ,DUBLIN,255
WATERFORD CITY SOUTH LEA-6,WATERFORD,181
ARDEE LEA-6,LOUTH,142
DROGHEDA RURAL LEA-4,LOUTH,95
MANORHAMILTON LEA-6,LEITRIM,32
WICKLOW LEA-6,WICKLOW,102
ASHBOURNE LEA-6,MEATH,134
MONAGHAN LEA-7,MONAGHAN,245
GRAIGUECULLEN -PORTARLINGTON-LEA-6,LAOIS,110
CASHEL-TIPPERARY LEA-7,TIPPERARY,114
BALTINGLASS LEA-6,WICKLOW,111
BLANCHARDSTOWN-MULHUDDART ,DUBLIN,355
STILLORGAN ,DUBLIN,103
SOUTH EAST INNER CITY ,DUBLIN,221
CARLOW LEA-7,CARLOW,189
KANTURK LEA-4,CORK,116
PILTOWN LEA-5,KILKENNY,89
NORTH INNER CITY ,DUBLIN,501
BELMULLET-LEA-3,MAYO,91
SOUTH WEST INNER CITY ,DUBLIN,264
CARRIGALINE LEA-6,CORK,94
CASTLECOMER LEA-6,KILKENNY,54
RUSH-LUSK ,DUBLIN,182
CLAREMORRIS LEA-6,MAYO,125
KILLARNEY LEA-7,KERRY,83
TRAMORE-WATERFORD CITY WEST LEA-6,WATERFORD,150
ATHENRY-ORANMORE LEA-7,GALWAY,89
CORK CITY SOUTH WEST LEA-7,CORK,152
BALLYMOTE-TOBERCURRY LEA-7,SLIGO,74
LIMERICK CITY NORTH LEA-7,LIMERICK,144
LOUGHREA LEA-5,GALWAY,57
CORK CITY NORTH EAST LEA-6,CORK,193
KELLS LEA-7,MEATH,162
GOREY LEA-6,WEXFORD,109
GORT-KINVARA LEA-5,GALWAY,122
CLONDALKIN ,DUBLIN,253
BIRR LEA-6,OFFALY,130
BALLYMUN-FINGLAS ,DUBLIN,443
WEXFORD LEA-7,WEXFORD,181
KILMUCKRIDGE LEA-4,WEXFORD,65
LISTOWEL LEA-6,KERRY,53
LIFFORD-STRANORLAR LEA-6,DONEGAL,185
KILRUSH LEA-5,CLARE,25
CORK CITY SOUTH EAST LEA-6,CORK,159
MIDLETON LEA-7,CORK,195
NEWCASTLE WEST LEA-6,LIMERICK,53
BRAY EAST LEA-4,WICKLOW,91
KILKENNY LEA-7,KILKENNY,58
LONGFORD LEA-7,LONGFORD,61
MAYNOOTH LEA-5,KILDARE,100
EDENDERRY LEA-6,OFFALY,89
DROGHEDA URBAN LEA-6,LOUTH,166
PORTLAOISE LEA-7,LAOIS,161
BALBRIGGAN ,DUBLIN,166
FIRHOUSE-BOHERNABREENA ,DUBLIN,168
NAAS LEA-7,KILDARE,154
CONAMARA NORTH LEA-4,GALWAY,48
CLONMEL LEA-6,TIPPERARY,59
BAILIEBOROUGH - COOTEHILL LEA-6,CAVAN,109
TULLOW LEA-6,CARLOW,97
CONAMARA SOUTH LEA-5,GALWAY,42
ARKLOW LEA-6,WICKLOW,102
LEIXLIP LEA-3,KILDARE,64
GRANARD LEA-5,LONGFORD,53
DUNDALK SOUTH LEA-7,LOUTH,236
SKIBBEREEN-WEST CORK LEA-5,CORK,99
CABRA-GLASNEVIN,DUBLIN,345
CALLAN-THOMASTOWN LEA-6,KILKENNY,67
NEW ROSS LEA-6,WEXFORD,87
CARRICK-ON-SUIR  LEA-5,TIPPERARY,52
ATHLONE LEA-5,WESTMEATH,50
BALLINA LEA-6,MAYO,64
DONEGAL LEA-6,DONEGAL,116
